---,ItemTag,SlotTag,RequiredWeaponTags,BlockedWeaponTags,Modifiers,Mesh,AttachSocket
Item_Attachment_Silencer,"(TagName=""Item.Attachment.Silencer"")","(TagName=""AttachmentSlot.Muzzle"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.850000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Spread.Base""),Operation=Multiply,Magnitude=0.900000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Mobility""),Operation=Multiply,Magnitude=0.960000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Damage""),Operation=Multiply,Magnitude=0.950000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_Silencer_Barrel.SM_Silencer_Barrel","Barrel"
Item_Attachment_MuzzleBrake,"(TagName=""Item.Attachment.MuzzleBrake"")","(TagName=""AttachmentSlot.Muzzle"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.750000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Recoil.Horizontal""),Operation=Multiply,Magnitude=1.150000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_MuzzleBrake_Barrel.SM_MuzzleBrake_Barrel","Barrel"
Item_Attachment_FlashHider,"(TagName=""Item.Attachment.FlashHider"")","(TagName=""AttachmentSlot.Muzzle"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Spread.Base""),Operation=Multiply,Magnitude=0.920000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.950000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_FlashHidder_Barrel.SM_FlashHidder_Barrel","Barrel"
Item_Attachment_SquaredSuppressor,"(TagName=""Item.Attachment.SquaredSuppressor"")","(TagName=""AttachmentSlot.Muzzle"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.800000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Recoil.Horizontal""),Operation=Multiply,Magnitude=0.850000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Spread.Base""),Operation=Multiply,Magnitude=0.850000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Mobility""),Operation=Multiply,Magnitude=0.930000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Damage""),Operation=Multiply,Magnitude=0.950000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_Square_Suppressor_Barrel.SM_Square_Suppressor_Barrel","Barrel_Squared"
Item_Attachment_GripVerticalA,"(TagName=""Item.Attachment.GripVerticalA"")","(TagName=""AttachmentSlot.Grip"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.880000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_VerticleTypeAGrip.SM_VerticleTypeAGrip","Grip"
Item_Attachment_GripVerticalB,"(TagName=""Item.Attachment.GripVerticalB"")","(TagName=""AttachmentSlot.Grip"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Horizontal""),Operation=Multiply,Magnitude=0.850000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_VerticleTypeB_Grip.SM_VerticleTypeB_Grip","Grip"
Item_Attachment_GripVerticalC,"(TagName=""Item.Attachment.GripVerticalC"")","(TagName=""AttachmentSlot.Grip"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Recovery""),Operation=Multiply,Magnitude=1.200000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_VerticleTypeC_Grip.SM_VerticleTypeC_Grip","Grip"
Item_Attachment_GripAngled,"(TagName=""Item.Attachment.GripAngled"")","(TagName=""AttachmentSlot.Grip"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.ADS.Speed""),Operation=Multiply,Magnitude=1.150000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Spread.Moving""),Operation=Multiply,Magnitude=0.880000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_Angled_Grip.SM_Angled_Grip","Grip_Angle"
Item_Attachment_Bipod,"(TagName=""Item.Attachment.Bipod"")","(TagName=""AttachmentSlot.ForeEnd"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Recoil.Vertical""),Operation=Multiply,Magnitude=0.700000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Recoil.Horizontal""),Operation=Multiply,Magnitude=0.750000,Priority=0),(StatTag=(TagName=""Stat.Weapon.Mobility""),Operation=Multiply,Magnitude=0.940000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_Bipod_Attachment.SM_Bipod_Attachment","ForeEnd_Bipod"
Item_Attachment_LaserSight,"(TagName=""Item.Attachment.LaserSight"")","(TagName=""AttachmentSlot.ForeEnd"")","(GameplayTags=)","(GameplayTags=)","((StatTag=(TagName=""Stat.Weapon.Spread.Base""),Operation=Multiply,Magnitude=0.800000,Priority=0))","/Game/Weapons/Mesh/Attachment/SM_LaserSight.SM_LaserSight","Laser"
